,Index,Sea_level,Sea_CO2,Sea_Temperature,Stratification,OCH-700,OCH-2000,Ice_index,Salinity
23,2004-11,18.01285714,381.0658961,0.07,2.656,-2.66,-2.18,10.343,0.00440
24,2004-12,18.37,371.5567977,0.06,2.593,-3.38,-2.27,12.554,0.00451
25,2005-01,11.68428571,366.3601352,0.15,2.553,-3.79,-2.29,13.661,0.00468
26,2005-02,10.33,364.9386206,0.17,2.552,-3.66,-2.42,14.373,0.00446
27,2005-03,10.63,362.9003376,0.15,2.187,-3.46,-2.34,14.687,0.00448
28,2005-04,8.586666667,384.0424751,0.14,2.251,-3.37,-2.33,14.09,0.00422
29,2005-05,10.63,397.6275848,0.17,1.612,-3.24,-2.16,12.911,0.00411
30,2005-06,9.31,397.4505808,0.14,1.868,-3.30,-1.96,11.162,0.00413
31,2005-07,14.33666667,390.6033384,0.16,2.030,-2.71,-1.76,8.649,0.00415
32,2005-08,16.62,385.9189634,0.21,2.231,-2.72,-1.51,6.301,0.00429
33,2005-09,23.97,386.7315007,0.17,2.011,-2.33,-1.43,5.504,0.00470
34,2005-10,26.03666667,383.4588148,0.14,1.572,-1.71,-1.48,7.352,0.00500
35,2005-11,25.40333333,381.1042378,0.07,1.515,-1.28,-1.58,10.216,0.00519
36,2005-12,23.82,374.7243547,0.08,1.206,-1.62,-1.54,12.228,0.00566
37,2006-01,16.845,368.4710532,0.05,1.235,-0.79,-1.20,13.466,0.00572
38,2006-02,12.995,368.1812001,0.08,1.123,-1.27,-1.18,14.325,0.00551
39,2006-03,12.30333333,370.2183365,0.06,1.607,-0.82,-1.11,14.421,0.00551
40,2006-04,12.70333333,384.4886034,0.09,1.889,-0.76,-1.18,13.906,0.00500
41,2006-05,14.57,388.7090686,0.11,2.356,-0.97,-1.19,12.517,0.00471
42,2006-06,15.23666667,394.0983532,0.1,2.112,-1.16,-1.16,10.92,0.00468
43,2006-07,15.60333333,384.0092099,0.07,2.270,-1.28,-1.23,8.46,0.00475
44,2006-08,22.23666667,387.4358373,0.13,2.574,-1.63,-1.02,6.496,0.00393
45,2006-09,27.13666667,385.2102273,0.16,2.344,-1.72,-0.97,5.862,0.00285
46,2006-10,27.97,384.8861932,0.12,3.116,-1.41,-0.99,7.541,0.00222
47,2006-11,25.10333333,381.3817906,0.15,3.377,-1.08,-1.31,9.659,0.00250
48,2006-12,22.97,378.8906641,0.17,3.423,-1.92,-1.61,11.955,0.00369
49,2007-01,16.245,369.07339,0.15,2.745,-1.83,-1.50,13.703,0.00365
50,2007-02,14.03666667,365.51927,0.17,1.694,-2.45,-1.60,14.513,0.00377
51,2007-03,15.33666667,374.3298163,0.12,1.547,-2.22,-1.75,14.542,0.00414
52,2007-04,14.545,380.4438803,0.09,1.411,-2.30,-1.72,13.845,0.00408
53,2007-05,13.80333333,388.1755422,0.04,1.482,-2.92,-1.70,12.78,0.00427
54,2007-06,12.07,400.8780402,0.09,1.267,-3.54,-1.51,11.22,0.00370
55,2007-07,16.10333333,393.4100999,0.05,1.456,-2.88,-1.27,7.943,0.00414
56,2007-08,19.20333333,387.984848,0.03,1.081,-2.37,-1.06,5.342,0.00419
57,2007-09,26.43666667,387.5595763,0.07,0.343,-2.19,-1.13,4.267,0.00409
58,2007-10,25.60333333,383.4880381,0.03,0.541,-2.29,-1.00,6.04,0.00348
59,2007-11,28.70333333,378.717357,-0.08,-0.223,-2.64,-1.00,9.76,0.00328
60,2007-12,20.07,372.2536737,-0.09,-0.628,-2.58,-1.13,12.034,0.00309
61,2008-01,20.37,368.0400114,-0.06,-1.027,-1.53,-0.66,13.887,0.00309
62,2008-02,17.07,367.6808555,-0.02,-1.074,-1.19,-0.68,14.953,0.00291
63,2008-03,16.70333333,367.1141683,0.01,-0.544,-1.12,-0.80,15.179,0.00335
64,2008-04,15.97,378.3408049,0,0.046,-1.12,-0.85,14.352,0.00356
65,2008-05,19.77,381.6009434,0.04,0.402,-1.07,-0.82,12.974,0.00349
66,2008-06,19.10333333,386.7958163,0.03,0.652,-1.20,-0.66,11.208,0.00323
67,2008-07,20.83166667,382.1340839,0.08,1.156,-1.74,-0.75,8.678,0.00282
68,2008-08,23.73,383.3608691,0.12,1.699,-1.89,-0.89,5.913,0.00271
69,2008-09,28.91333333,385.9544149,0.14,1.386,-2.22,-0.83,4.687,0.00294
70,2008-10,30.4675,387.949597,0.13,1.261,-2.08,-0.91,7.35,0.00272
71,2008-11,30.7675,380.3571722,0.05,1.104,-2.59,-1.01,10.343,0.00308
72,2008-12,24.23,376.6562673,0.05,0.885,-2.30,-0.93,12.359,0.00270
73,2009-01,22.66666667,369.0528119,0.07,0.862,-1.97,-0.63,13.914,0.00243
74,2009-02,20.80714286,365.7160401,0.03,0.802,-1.09,-0.60,14.812,0.00258
75,2009-03,20.91333333,377.5156205,0.05,1.014,-0.61,-0.68,14.984,0.00287
76,2009-04,20.64666667,380.4425677,0.12,1.994,-0.09,-0.61,14.496,0.00313
77,2009-05,19.71333333,384.5306564,0.13,2.563,-0.16,-0.64,13.187,0.00387
78,2009-06,20.43,390.6204376,0.25,2.929,-0.06,-0.69,11.32,0.00445
79,2009-07,24.71333333,388.6256208,0.25,2.952,-0.04,-0.58,8.465,0.00444
80,2009-08,29.09666667,385.9576461,0.22,2.939,-0.16,-0.37,6.136,0.00416
81,2009-09,34.61,387.4287231,0.16,2.629,0.23,-0.37,5.262,0.00403
82,2009-10,35.53,381.3585415,0.2,2.940,-0.13,-0.21,6.92,0.00390
83,2009-11,32.79666667,379.9782978,0.19,3.615,-0.48,-0.14,9.772,0.00389
84,2009-12,31.84333333,377.386343,0.3,3.514,-0.92,-0.18,12.2,0.00392
85,2010-01,25.00333333,369.3529039,0.25,3.229,-1.12,-0.14,13.739,0.00339
86,2010-02,26.01333333,367.8957009,0.27,3.124,-1.49,-0.20,14.581,0.00339
87,2010-03,22.28,375.476621,0.27,2.944,-1.82,-0.18,15.137,0.00319
88,2010-04,23.45,381.6188341,0.29,3.273,-1.00,-0.04,14.659,0.00378
89,2010-05,24.39666667,397.1572108,0.23,3.281,-0.91,-0.21,12.866,0.00419
90,2010-06,25.26333333,401.2815864,0.19,2.384,-0.85,-0.28,10.585,0.00458
91,2010-07,27.98,404.0105099,0.18,2.022,-0.65,-0.37,8.075,0.00430
92,2010-08,29.18,393.7440881,0.15,1.734,-0.78,-0.26,5.875,0.00406
93,2010-09,31.54666667,392.4437545,0.1,0.600,-1.11,-0.28,4.865,0.00427
94,2010-10,35.39666667,388.4301799,0.06,0.285,-0.83,-0.32,6.984,0.00407
95,2010-11,29.63,380.6486471,0.03,0.088,-1.12,-0.52,9.614,0.00491
96,2010-12,28.705,375.8633815,0.04,-0.265,-0.80,-0.47,11.831,0.00469
97,2011-01,23.02555556,373.5388584,0.02,-0.069,-0.43,-0.17,13.464,0.00481
98,2011-02,20.53,368.0848167,0.06,0.288,-0.65,-0.13,14.363,0.00570
99,2011-03,18.76333333,367.5274721,0.09,0.721,-0.52,-0.27,14.546,0.00621
100,2011-04,17.64666667,378.4263735,0.06,0.847,-0.72,-0.08,14.108,0.00662
101,2011-05,19.44666667,393.9025009,0.06,0.819,-0.49,0.07,12.681,0.00655
102,2011-06,21.81333333,393.2922066,0.08,0.966,-0.09,-0.08,10.749,0.00672
103,2011-07,24.05,389.5123722,0.08,1.032,-0.06,-0.19,7.724,0.00689
104,2011-08,30.18,389.9891533,0.07,0.790,-0.15,-0.19,5.503,0.00652
105,2011-09,34.69666667,392.7212321,0.04,0.850,-0.11,-0.14,4.561,0.00670
106,2011-10,34.11333333,382.7991426,0.02,0.970,-0.08,-0.11,6.465,0.00639
107,2011-11,34.36333333,381.6471046,0.03,0.701,0.16,0.04,9.772,0.00666
108,2011-12,34.25,378.4590614,-0.02,0.706,0.32,-0.00,12.154,0.00645
109,2012-01,31.37888889,371.5626605,0,0.651,0.94,0.34,13.729,0.00634
110,2012-02,28.51666667,369.3403841,0.07,0.819,0.83,0.51,14.553,0.00655
111,2012-03,29.09,377.3974553,0.04,1.447,0.71,0.49,15.196,0.00670
112,2012-04,29.435,385.6888737,0.07,1.505,0.25,0.54,14.626,0.00653
113,2012-05,30.79666667,398.9401962,0.12,1.634,0.48,0.52,13.012,0.00596
114,2012-06,32.83,392.0484456,0.07,1.468,-0.16,0.40,10.674,0.00562
115,2012-07,38.08,389.5604401,0.12,1.788,-0.09,0.29,7.672,0.00541
116,2012-08,38.48,386.508974,0.14,2.014,0.13,0.12,4.723,0.00558
117,2012-09,45.13571429,388.845971,0.19,1.780,0.41,0.37,3.566,0.00568
118,2012-10,45.71333333,383.6335124,0.16,1.982,0.39,0.65,5.886,0.00533
119,2012-11,44.66333333,381.3470326,0.12,2.438,0.77,0.61,9.388,0.00542
120,2012-12,39.88,378.3575513,0.13,2.000,1.19,0.64,12.006,0.00551
121,2013-01,39.30111111,372.7961016,0.08,1.741,1.46,0.95,13.703,0.00598
122,2013-02,36.535,368.5202841,0.1,1.728,2.09,0.85,14.723,0.00566
123,2013-03,34.374,375.6273803,0.09,2.049,1.75,0.87,15.032,0.00575
124,2013-04,33.62428571,392.4218131,0.14,2.208,1.10,0.76,14.299,0.00611
125,2013-05,32.35,402.0702666,0.13,1.851,1.10,0.73,12.997,0.00645
126,2013-06,33.49,405.8780529,0.05,1.383,1.18,0.71,11.36,0.00606
127,2013-07,36.05666667,400.362757,0.16,1.534,0.79,0.55,8.132,0.00628
128,2013-08,38.52333333,390.8731231,0.2,2.184,0.86,0.61,6.014,0.00635
129,2013-09,42.95666667,392.7320981,0.2,2.047,1.34,0.65,5.208,0.00669
130,2013-10,47.55666667,383.3557775,0.14,1.950,1.90,0.50,7.455,0.00722
131,2013-11,42.35666667,381.8697575,0.21,2.120,2.32,0.81,9.939,0.00723
132,2013-12,40.34,375.2148134,0.17,1.900,2.31,0.95,12.184,0.00612
133,2014-01,37.415,368.3186588,0.16,1.956,2.38,1.22,13.648,0.00533
134,2014-02,38.22333333,364.6124805,0.16,2.295,1.75,1.18,14.418,0.00539
135,2014-03,36.22333333,372.1089824,0.23,2.277,0.93,1.30,14.758,0.00576
136,2014-04,34.22333333,386.4284943,0.29,3.130,1.14,1.27,14.088,0.00634
137,2014-05,33.42333333,404.8120432,0.26,3.541,1.30,1.38,12.701,0.00623
138,2014-06,37.35666667,407.0008532,0.28,4.036,1.96,1.41,11.033,0.00585
139,2014-07,40.565,395.4630515,0.24,3.821,2.19,1.74,8.108,0.00580
140,2014-08,46.65666667,391.5237223,0.35,4.576,1.81,1.63,6.078,0.00616
141,2014-09,49.02333333,391.1138035,0.33,4.296,1.41,1.61,5.22,0.00651
142,2014-10,50.15666667,389.7392168,0.3,4.703,1.01,1.50,7.232,0.00655
143,2014-11,47.29,384.4976285,0.26,4.582,0.98,1.55,10.115,0.00691
144,2014-12,48.49,377.4432949,0.26,4.025,1.53,1.61,12.353,0.00692
145,2015-01,44.85,367.5693562,0.26,3.762,2.87,1.78,13.602,0.00683
146,2015-02,45.32333333,363.6822388,0.28,3.426,3.45,1.85,14.401,0.00748
147,2015-03,44.05666667,376.3588621,0.28,4.267,3.70,2.12,14.37,0.00763
148,2015-04,43.02333333,380.6159875,0.37,4.467,3.49,1.91,13.893,0.00711
149,2015-05,42.02333333,399.1862989,0.35,4.900,3.61,1.86,12.468,0.00677
150,2015-06,45.29,403.8840247,0.34,5.434,3.89,1.87,10.879,0.00610
151,2015-07,48.45666667,393.2781962,0.36,5.706,3.76,1.81,8.378,0.00613
152,2015-08,54.92333333,397.0899588,0.41,6.457,4.17,1.43,5.599,0.00570
153,2015-09,60.14,402.1728304,0.48,6.800,3.95,1.09,4.616,0.00565
154,2015-10,60.65666667,395.7682188,0.49,7.366,3.51,0.90,6.966,0.00517
155,2015-11,57.95666667,391.5606882,0.48,7.338,3.66,0.98,9.846,0.00499
156,2015-12,54.39,380.333279,0.49,7.376,3.14,1.13,12.045,0.00514
157,2016-01,51.925,376.9758818,0.56,7.256,3.17,1.37,13.457,0.00531
158,2016-02,49.82,369.2516529,0.49,7.302,2.94,1.63,14.203,0.00576
159,2016-03,49.655,375.9661627,0.52,6.689,3.10,1.58,14.4,0.00619
160,2016-04,47.035,391.0335517,0.46,6.582,3.79,1.82,13.681,0.00610
161,2016-05,47.62,404.0060917,0.39,6.058,3.16,1.62,11.924,0.00632
162,2016-06,49.2825,408.581772,0.39,5.984,3.07,1.55,10.413,0.00596
163,2016-07,49.095,410.3691757,0.39,5.606,2.59,1.40,7.938,0.00593
164,2016-08,54.245,402.2111988,0.4,5.175,2.69,1.24,5.371,0.00593
165,2016-09,57.22,396.8813228,0.38,4.785,2.86,1.36,4.528,0.00591
166,2016-10,60.745,391.5652074,0.35,4.377,2.98,1.47,6.082,0.00586
167,2016-11,61.12428571,384.2467599,0.25,4.118,2.90,1.64,8.658,0.00685
168,2016-12,55.29333333,378.7577275,0.3,4.599,3.15,1.92,11.459,0.00689
169,2017-01,51.71777778,376.0050862,0.33,4.888,3.29,2.18,13.19,0.00772
170,2017-02,49.22285714,369.8300415,0.37,5.126,4.20,2.10,14.12,0.00821
171,2017-03,49.756,373.9466798,0.39,5.191,4.87,2.25,14.29,0.00872
172,2017-04,48.39428571,388.014766,0.41,4.885,5.12,2.45,13.753,0.00850
173,2017-05,45.93333333,404.9623386,0.35,4.796,4.86,2.30,12.631,0.00782
174,2017-06,48.63333333,405.4915746,0.34,5.137,4.31,2.14,10.756,0.00672
175,2017-07,53.13333333,402.3386192,0.37,5.643,4.38,2.26,7.939,0.00676
176,2017-08,57.8,402.8916506,0.41,5.402,4.23,2.44,5.481,0.00738
177,2017-09,61.66666667,399.9396969,0.34,4.983,4.62,2.52,4.822,0.00796
178,2017-10,65.53333333,398.344499,0.31,4.592,4.71,2.27,6.767,0.00805
179,2017-11,65.3,389.1091098,0.28,3.514,4.19,1.94,9.493,0.00792
180,2017-12,61.05,376.6625327,0.22,3.191,4.17,1.88,11.743,0.00761
181,2018-01,57.15,371.1843319,0.24,2.810,4.32,1.95,13.077,0.00761
182,2018-02,52.15,367.545364,0.22,3.068,4.47,1.69,13.967,0.00721
183,2018-03,50.53333333,374.5723505,0.3,3.625,4.91,1.44,14.298,0.00732
184,2018-04,50.96666667,383.9593288,0.32,3.996,5.03,1.57,13.696,0.00675
185,2018-05,50.33333333,405.2104883,0.32,4.293,5.04,1.46,12.232,0.00662
186,2018-06,52.13333333,403.6335409,0.25,4.246,4.24,1.37,10.778,0.00627
187,2018-07,55.73333333,395.4886545,0.22,4.339,3.67,1.43,8.268,0.00678
188,2018-08,61.03333333,393.2340216,0.28,4.378,4.02,1.30,5.615,0.00705
189,2018-09,67.23333333,393.569732,0.33,4.304,4.08,1.35,4.785,0.00760
190,2018-10,69.5,396.8743749,0.38,5.167,4.42,1.30,6.134,0.00781
191,2018-11,65.13333333,391.5022157,0.37,5.462,4.71,1.50,9.823,0.00748
192,2018-12,63.05,383.7543059,0.37,5.501,4.47,1.74,11.862,0.00755
193,2019-01,60.8,373.1524502,0.36,5.707,4.78,2.03,13.567,0.00782
194,2019-02,58.46666667,374.0647151,0.37,5.629,5.37,2.01,14.394,0.00717
195,2019-03,58.73333333,380.6873921,0.42,5.674,6.04,1.98,14.574,0.00731
196,2019-04,58.225,390.1862997,0.4,5.948,6.58,2.29,13.434,0.00688
197,2019-05,56.63333333,403.0359868,0.36,5.921,6.22,2.48,12.186,0.00606
198,2019-06,60.16666667,406.6326287,0.38,6.334,6.07,2.45,10.594,0.00520
199,2019-07,62.96666667,404.7736555,0.39,6.297,6.11,2.51,7.589,0.00527
200,2019-08,69.5,395.057044,0.44,5.994,5.76,2.54,5.026,0.00570
201,2019-09,71.73333333,396.6936492,0.37,5.799,5.60,2.08,4.364,0.00654
202,2019-10,73,401.3227434,0.38,6.170,5.60,2.03,5.735,0.00641
203,2019-11,71.43333333,385.6749252,0.38,6.483,5.04,2.02,9.353,0.00621
204,2019-12,68.1,377.5796788,0.39,6.752,6.21,2.33,11.903,0.00615
